,"Potsdam,Germany","Prenzlauer Berg,Berlin,Germany","Nippes,Nippes,Cologne,Germany"
3,141925.76734027045,29793.523179558422,3050.729582696235
13,48209.85643634959,9575.322126168594,224.7884677521333
23,16294.939836991636,3313.7153503999307,31.696625625184815
33,8634.19127588829,1115.9387893503852,0.0
43,5719.25270891522,564.137351250917,
53,3824.410827147444,156.41312305898407,
63,0.0,0.0,
